upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P28305,28.03,11.13,NA,26.04,14.33,35.97,12.96,32.73,36.70,47.78,50.62,39.69,22.20,22.54,28.75,26.38,28.67,NA,NA,18.09,18.27,NA
P39359,26.26,15.55,NA,15.88,0.84,11.64,12.78,16.50,18.50,41.62,13.88,12.85,1.08,1.09,2.73,0.51,0.59,NA,NA,2.45,17.03,NA
P75798,71.81,29.52,65.80,45.80,53.49,64.15,66.18,65.02,90.41,76.98,59.50,50.00,66.01,60.83,60.50,116.01,100.40,99.91,63.91,52.44,73.88,82.19
P0AFH6,95.80,439.16,689.30,20.65,73.00,88.27,83.97,68.66,122.37,100.23,51.84,36.64,53.77,98.84,162.69,125.19,61.75,212.58,108.52,187.57,153.29,152.36
P77360,2.32,1.42,NA,1.41,16.33,3.02,2.09,1.75,2.04,5.68,5.01,0.23,4.72,2.16,0.88,0.48,0.11,NA,NA,1.39,3.66,NA
P76440,1.08,101.01,1.03,1.95,1.22,0.83,0.40,1.40,1.06,0.37,0.55,0.43,0.53,0.00,1.57,0.63,0.01,0.89,0.98,1.67,1.03,1.11
P0AEN4,58.73,74.23,32.31,25.59,33.28,29.46,38.81,48.42,23.34,17.03,10.94,3.65,0.39,0.49,3.22,0.73,17.45,0.67,30.31,6.93,29.96,25.33
P76055,77.79,203.97,116.82,19.06,27.71,24.91,37.86,18.87,21.92,12.66,10.16,12.32,8.36,5.38,16.27,31.82,10.79,16.54,18.80,3.74,29.94,36.01
Q47156,17.50,16.09,NA,7.58,16.90,12.30,5.58,7.70,7.74,3.24,5.92,3.33,1.56,64.59,3.93,1.16,0.09,NA,NA,2.93,7.32,NA
P76217,5.37,9.95,12.92,5.62,12.94,6.76,4.72,3.44,8.40,11.46,16.42,14.53,6.53,1.36,1.37,2.26,0.39,0.58,6.21,4.26,7.39,7.02
P17445,85.43,145.43,82.31,63.42,54.93,44.16,63.03,39.84,60.96,47.50,39.66,20.18,44.08,33.28,102.54,98.73,57.51,66.21,70.57,45.06,50.96,90.89
P0AEL0,0.17,26.90,0.02,0.01,0.01,0.42,0.01,0.01,0.29,0.01,0.01,0.02,0.29,0.01,0.02,0.24,0.02,0.31,0.01,0.01,0.24,0.36
P0ABY4,690.05,908.26,642.44,195.09,243.85,381.86,272.80,270.53,195.97,156.66,79.72,74.30,145.45,154.09,466.77,339.22,391.86,465.25,375.20,147.94,326.93,441.41
P0AEP9,33.47,97.11,43.40,47.78,24.36,15.26,23.18,11.81,18.45,15.97,13.06,16.39,1.99,8.02,14.31,22.68,32.62,37.76,41.24,22.82,39.40,46.98
P0A996,0.01,40.43,11.64,0.01,0.46,0.22,3.81,0.01,0.01,0.03,0.00,0.00,0.07,0.00,0.01,0.01,0.01,0.11,0.09,0.12,0.01,0.14
P21345,6.58,6.68,25.08,0.76,0.43,0.98,0.58,1.29,2.72,1.46,1.42,0.56,5.03,0.00,2.18,13.04,3.18,0.85,0.68,0.57,0.34,0.64
P03817,4169.63,3852.41,3998.89,1737.80,2800.13,2735.62,3315.16,3619.60,2454.46,1954.06,1511.22,1085.71,673.53,727.74,4413.44,2527.76,2778.11,4043.29,3463.02,4001.80,3216.43,3660.30
P65367,156.57,277.44,217.64,178.27,104.88,121.73,134.48,117.26,140.74,215.86,194.09,152.69,35.68,0.59,89.65,96.53,80.65,75.41,71.06,84.06,32.75,35.77
P26459,1.00,4.05,0.14,0.21,0.25,0.06,0.34,0.42,0.41,0.37,0.47,0.30,4.49,2.08,0.85,6.06,76.15,1.61,0.17,0.40,0.20,0.46
P0ABJ3,17.94,57.74,13.64,36.76,40.65,16.11,30.02,111.14,76.50,42.51,54.31,44.11,62.88,46.93,54.28,153.68,77.91,66.42,53.62,18.64,94.57,116.39
Q46839,1.01,9.30,2.47,40.23,22.72,29.64,7.34,1.77,15.00,73.07,116.05,123.95,0.23,3.61,0.04,1.42,1.60,3.31,19.16,27.29,7.17,0.90
P52074,0.27,2.92,0.40,31.96,6.40,4.24,3.50,0.01,1.60,8.57,8.33,12.60,0.00,0.13,0.01,0.05,0.08,0.01,0.96,1.53,1.83,0.35
P69739,0.01,2.41,1.43,0.28,0.59,0.35,0.62,0.65,0.01,0.38,0.56,0.19,0.01,0.01,0.73,0.01,0.39,0.09,0.23,0.40,0.14,0.02
P16431,1.09,0.30,3.52,0.35,0.69,1.21,1.77,0.85,0.66,1.26,1.92,0.93,0.76,1.75,0.93,1.41,5.02,0.96,1.67,0.99,2.56,3.54
P33937,0.70,8.68,NA,0.05,0.91,1.36,2.51,15.96,0.47,2.59,4.66,1.30,10.17,0.77,0.39,0.23,0.67,NA,NA,0.39,2.71,NA
P77611,10.26,20.08,9.49,4.63,6.89,4.59,8.10,4.94,5.71,4.10,1.97,0.86,3.57,0.27,4.68,11.64,7.44,7.35,6.97,5.85,6.15,9.37
P77285,90.24,122.95,74.13,68.11,94.91,95.61,81.92,76.69,88.95,68.52,70.36,39.19,55.22,63.38,84.77,88.72,106.33,72.41,73.43,60.61,69.00,71.11
P69054,860.11,4322.59,2668.71,2050.62,1389.34,1947.87,1052.61,1980.85,2600.85,2381.04,1900.29,1668.53,317.05,191.13,300.00,531.70,568.41,984.82,1795.08,810.50,1964.37,2006.24
P0AC44,29.36,188.10,36.45,33.25,37.02,35.38,29.96,47.87,36.55,39.06,32.47,36.37,3.15,6.84,19.75,41.93,12.56,34.63,34.52,16.28,40.93,48.82
P36560,0.08,0.94,0.11,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.06,0.05,0.07,0.05,0.08,2.24,378.71,0.08,0.08,0.06,0.08,0.09
P0AEC5,2.48,4.29,2.89,2.35,3.10,3.92,2.70,3.39,4.71,4.20,4.08,4.39,0.99,1.10,0.68,0.89,1.56,2.10,2.00,1.15,1.81,2.38
P37659,42.35,37.90,65.50,37.94,58.10,71.84,72.75,58.31,92.44,97.24,67.55,60.93,7.37,5.17,27.37,25.31,46.19,51.30,52.54,24.20,52.50,68.62
P0AB40,155.82,362.83,308.49,42.30,47.84,68.76,405.81,48.12,85.70,69.54,54.57,57.91,636.14,763.39,2430.41,3310.90,3327.32,2801.76,1730.77,1168.58,1452.82,2916.11
P77330,2524.50,7106.62,7573.40,712.74,2328.50,2008.30,2192.16,2111.14,1727.79,1207.44,812.49,771.83,529.52,92.97,482.97,426.73,247.08,428.23,235.68,251.09,410.48,644.95
P0AE60,79.92,234.51,NA,42.31,69.31,115.48,51.14,52.93,54.57,66.86,43.00,29.76,33.96,52.14,39.35,70.97,60.89,NA,NA,21.69,63.48,NA
P64467,46.04,195.17,68.68,17.43,31.64,39.96,34.79,33.66,23.24,17.28,15.06,10.46,5.10,11.26,39.59,35.32,114.27,30.10,26.57,13.10,22.33,34.91
P23840,0.49,0.03,NA,1.97,5.21,3.11,0.07,0.21,0.42,2.51,0.06,1.39,0.44,0.56,0.13,1.90,0.00,NA,NA,1.07,2.66,NA
P08191,16.59,21.69,NA,1.55,2.33,14.91,28.54,0.73,7.96,34.59,3.92,19.07,114.05,48.27,24.75,7.49,8.43,NA,NA,5.78,15.33,NA
P0AC92,1268.59,2930.64,2524.63,505.98,775.28,1060.37,1005.46,701.59,812.32,434.95,534.98,311.07,464.24,555.19,1351.10,1428.75,1472.08,1082.45,1108.64,881.31,973.89,1145.94
P0AES9,2098.87,3860.62,3197.95,34972.82,6378.20,7349.33,3011.99,1676.95,7992.03,11213.12,12259.68,14879.77,138310.93,152389.27,23001.20,5785.58,136643.26,7121.48,3093.68,14981.71,5373.31,4668.18
P0AAN1,110.42,121.12,NA,13.14,27.38,59.61,37.37,31.70,49.32,103.85,7.29,25.04,38.85,3.27,31.55,76.11,27.74,NA,NA,21.88,58.84,NA
P0AFM9,317.77,222.65,177.97,212.20,188.37,175.07,248.28,349.98,139.36,162.41,167.75,99.31,73.70,220.75,176.12,369.76,298.18,439.31,321.14,127.69,240.60,372.00
P68191,3457.98,1400.43,1844.04,4309.58,4885.83,5164.86,5473.87,3608.11,4311.51,4130.53,3922.88,3455.05,3920.58,1615.76,11673.46,5862.38,11511.07,4342.89,5561.36,4450.87,3899.61,3443.92
P0AAQ2,102.98,122.13,46.02,78.67,158.61,176.00,187.37,151.16,137.08,132.34,91.62,60.92,271.89,55.51,57.90,44.56,29.60,118.77,147.66,104.35,128.10,131.46
P37325,5.00,4.67,NA,4.99,4.43,6.00,3.25,2.19,10.00,10.29,12.84,10.48,33.68,17.69,8.75,10.55,5.38,NA,NA,3.91,3.03,NA
P0AAV6,338.03,646.40,445.41,301.17,288.62,338.36,237.78,190.12,180.76,233.26,297.51,324.17,894.11,1335.08,916.30,374.40,1154.65,413.10,311.33,417.15,274.14,180.14
P58094,104.52,78.25,NA,72.27,162.44,119.69,70.67,27.04,131.92,237.79,79.03,36.74,37.21,11.03,52.78,77.39,111.00,NA,NA,59.98,24.94,NA
A5A614,13.82,11.47,NA,9.10,8.10,18.36,8.23,24.90,6.42,67.51,24.28,2.99,0.16,6.90,5.03,3.06,1.81,NA,NA,3.35,8.39,NA
P64463,17.76,12.93,7.98,15.47,13.83,16.33,11.68,15.58,13.52,21.69,22.62,20.99,9.66,7.38,28.09,33.29,52.23,19.80,19.22,32.41,16.19,5.71
P64476,569.24,271.11,176.36,539.48,305.19,364.64,200.16,249.75,214.47,189.39,204.45,165.10,278.65,255.23,2314.42,68.60,1886.77,800.15,337.61,215.54,230.68,251.59
P64479,124.55,14.67,36.33,237.12,178.94,88.24,91.75,92.69,209.35,241.47,427.65,532.19,1.90,13.96,51.34,45.75,46.44,31.23,50.39,49.64,23.46,28.03
P46887,3.29,3.24,NA,0.62,4.92,3.37,3.71,7.76,0.84,15.67,9.07,0.00,12.64,6.94,12.74,17.76,16.03,NA,NA,1.76,3.14,NA
P76471,3.47,1.92,NA,1.05,74.71,3.74,3.04,0.03,7.77,46.58,7.12,1.21,0.86,0.59,4.92,4.42,2.93,NA,NA,0.09,4.39,NA
P65292,1446.25,585.96,1010.54,1243.12,2205.49,2086.14,1753.00,1808.67,1132.87,1770.33,2586.02,3963.12,3582.58,2382.49,2602.38,871.53,1859.49,648.15,1611.65,1977.75,1295.28,947.66
P64614,35.03,83.62,NA,18.21,21.25,7.74,63.92,15.26,43.55,27.69,27.28,22.59,813.10,122.77,39.68,59.37,65.44,NA,NA,13.97,20.26,NA
P0ADX5,24.60,29.52,22.48,6.70,13.86,27.98,16.40,8.43,11.21,18.73,29.59,36.00,465.26,301.07,58.31,19.53,79.25,20.00,31.02,104.83,22.89,16.84
P37615,60.31,76.11,44.56,39.71,50.53,68.27,49.09,46.79,49.65,47.72,58.75,64.76,29.75,36.93,58.63,98.13,96.79,33.10,43.78,45.76,32.30,37.87
Q2M7R5,642.29,558.58,534.37,239.97,391.02,537.19,445.76,420.93,276.91,207.84,257.38,295.27,984.64,764.75,499.20,711.13,491.78,219.07,335.95,277.70,221.52,247.53
P18390,210.99,400.14,255.24,113.97,195.80,189.80,224.30,205.03,143.34,132.39,114.33,111.42,78.53,29.25,271.06,247.45,292.48,223.92,177.58,178.06,180.56,205.74
P64448,83.18,103.91,119.12,45.65,73.78,99.00,87.44,78.30,70.80,63.31,50.11,52.42,60.99,46.59,130.97,73.30,133.35,98.51,75.81,67.61,82.96,145.02
P76227,139.23,353.76,NA,91.39,82.48,120.02,114.82,122.65,234.83,247.22,151.64,190.46,994.06,715.15,198.31,144.28,137.91,NA,NA,86.24,107.04,NA
A5A621,1.85,1.44,NA,1.44,5.22,2.05,9.11,4.89,0.08,14.71,0.10,0.41,0.22,0.17,0.00,0.08,0.00,NA,NA,0.08,0.00,NA
P45795,301.88,280.74,NA,122.74,151.44,204.16,138.84,124.29,146.44,125.95,97.53,78.67,111.47,99.51,205.53,261.09,195.51,NA,NA,83.85,157.45,NA
P21361,63.76,68.72,105.88,33.04,35.04,65.80,70.96,45.29,46.69,70.01,66.08,59.54,1371.97,117.95,394.79,350.30,2863.62,85.24,74.49,62.36,22.99,58.48
P23477,12.69,21.59,17.61,12.40,14.45,14.15,11.32,11.25,11.19,14.73,15.22,13.23,13.44,14.09,21.87,22.28,25.26,15.45,17.49,19.66,11.57,12.13
P76445,17.07,55.49,37.77,1.26,7.45,2.02,3.69,4.01,13.43,9.08,7.19,2.34,2.08,1.83,7.93,21.44,6.88,17.35,7.21,4.15,7.47,24.31
P0A6W0,4.59,8.97,NA,0.67,4.01,1.01,0.34,0.00,1.26,0.40,0.00,0.01,16.90,0.31,0.00,3.78,0.02,NA,NA,0.00,0.29,NA
P0ACC1,1.82,40.23,NA,0.31,2.33,5.95,5.43,8.84,2.42,1.37,16.26,0.21,1.32,0.49,1.18,13.69,2.58,NA,NA,1.04,4.77,NA
P00892,52.24,43.79,22.25,13.10,28.80,31.16,35.17,72.34,22.86,6.37,3.20,2.49,0.94,0.45,15.09,61.45,2.11,59.60,20.35,10.01,28.05,37.10
B8LFD5,18.59,20.17,14.36,14.01,18.26,13.31,18.12,19.78,16.86,17.39,13.14,14.62,4.52,3.97,14.64,11.00,8.55,26.57,29.15,17.39,25.40,22.85
P45532,24.63,13.76,NA,17.84,56.06,19.51,20.44,51.11,19.99,9.17,36.46,2.89,2.90,18.02,41.08,2.00,59.30,NA,NA,17.72,23.18,NA
P0AB18,481.62,797.01,NA,345.86,446.15,569.26,387.07,331.51,448.35,404.65,366.95,269.60,208.32,215.44,390.84,410.34,407.43,NA,NA,242.36,410.17,NA
P56258,4.94,13.87,10.12,3.13,4.48,6.01,6.87,4.84,5.34,3.34,3.50,3.81,0.44,2.56,5.35,14.03,6.53,9.83,5.93,4.51,5.74,9.67
P27836,29.52,58.45,NA,13.31,14.24,21.74,18.57,7.56,17.28,5.45,7.01,4.89,3.21,1.01,25.17,27.08,30.92,NA,NA,8.19,16.14,NA
P0AFU4,9.33,36.38,NA,3.01,10.92,13.12,7.55,3.37,39.15,27.18,21.25,36.32,0.56,1.54,7.06,10.25,14.48,NA,NA,5.41,9.54,NA
P64423,8.87,30.10,14.90,11.63,12.04,17.50,17.03,6.49,20.94,17.82,17.96,15.15,26.31,22.82,20.14,28.80,32.17,20.12,12.02,12.66,10.01,19.25
P24177,0.90,0.19,0.01,1.39,1.00,0.31,1.94,2.91,0.19,0.23,0.30,0.28,0.00,0.00,0.00,0.97,0.00,1.38,0.00,0.31,0.47,1.34
P0AE14,4.11,10.27,4.49,5.82,4.92,2.42,3.57,6.93,4.77,4.59,9.34,15.37,0.00,0.17,0.18,1.16,0.33,0.19,0.51,0.10,0.52,0.40
P76398,0.00,0.01,0.25,0.47,1.11,1.18,1.10,0.62,1.12,0.98,0.82,0.99,0.20,0.04,0.00,0.00,0.00,0.08,3.56,0.00,0.81,5.25
P37637,0.17,0.53,0.22,0.25,0.35,0.27,0.10,0.60,0.40,0.83,1.42,2.67,4.18,5.20,0.36,1.16,20.79,0.15,0.29,1.34,0.45,0.08
P0AAA9,2.08,0.53,1.73,0.02,0.02,0.02,0.02,0.14,0.02,0.02,0.02,0.02,0.01,0.33,0.02,0.03,0.03,0.90,0.02,0.02,0.03,0.32
P33647,72.11,45.56,45.87,103.62,83.17,102.94,83.55,132.55,70.18,72.92,67.76,69.04,57.98,52.33,87.14,77.39,73.68,83.81,166.74,174.32,173.68,165.34
P0AFX7,43.79,60.11,41.73,29.65,64.43,47.47,65.84,72.86,37.56,43.54,34.27,37.98,8.01,9.51,14.19,36.37,89.37,50.39,52.09,40.92,51.06,36.93
P18392,5.78,3.97,8.35,2.94,4.88,7.18,7.53,6.96,3.60,5.30,4.74,4.97,0.75,0.31,1.62,5.02,2.32,5.58,3.52,3.17,8.19,9.14
P76502,61.42,48.71,53.51,22.92,31.45,54.94,36.93,38.95,29.30,23.25,17.03,11.10,32.82,21.94,33.27,48.63,65.91,39.12,32.88,22.92,38.48,35.12
P41039,3.12,4.24,35.55,3.25,9.45,9.43,4.20,1.17,3.07,0.02,3.19,0.02,0.02,4.30,73.42,14.45,13.45,8.94,0.03,1.30,1.93,0.03
P0AD14,0.01,0.59,1.57,1.86,1.17,0.01,1.34,4.52,5.36,3.74,3.97,4.19,0.00,0.00,0.01,0.15,0.21,0.66,0.20,0.13,0.56,0.01
P08365,8.51,0.72,NA,1.44,54.48,1.77,1.52,0.89,0.59,0.42,1.01,0.20,1.34,2.37,12.39,19.92,7.38,NA,NA,0.27,0.69,NA
P14376,1.48,2.72,0.95,0.41,0.47,1.71,1.46,2.24,2.09,1.23,1.82,1.01,0.49,0.28,0.48,0.03,0.00,0.00,0.00,0.03,0.00,0.01
P76446,0.75,0.36,0.76,0.43,3.10,4.47,0.26,4.63,5.84,5.80,5.85,6.58,0.29,0.01,0.09,0.01,0.30,0.43,0.54,0.41,0.35,0.26
P08368,7.56,9.75,8.33,7.23,7.01,4.75,5.76,5.48,5.96,5.29,5.76,5.23,0.47,0.21,0.01,1.13,0.64,0.29,0.19,0.04,1.76,2.58
P0AFJ5,7.37,9.12,18.80,10.46,16.26,13.72,15.91,13.70,11.82,6.05,8.94,12.86,3.25,12.13,18.48,2.48,24.76,16.76,7.46,15.08,15.82,7.45
P77302,3.41,17.07,6.62,12.15,14.31,17.27,13.61,3.05,26.37,22.43,10.76,5.84,11.09,7.51,16.16,3.34,12.80,10.31,14.08,11.13,22.61,11.24
P31129,0.99,0.61,1.68,0.99,0.41,0.39,0.60,0.57,0.63,0.74,0.29,0.03,1.92,0.70,2.52,2.37,6.07,1.06,1.03,2.87,2.52,3.84
P76237,0.98,1.57,1.51,2.94,1.50,2.88,0.84,1.36,1.66,2.93,2.57,3.89,4.04,2.99,0.57,1.45,2.88,0.73,1.16,2.63,0.27,0.01
P76245,2.56,5.73,NA,0.30,0.13,1.75,1.96,0.16,1.06,0.18,0.31,0.15,0.24,0.03,8.68,1.69,0.18,NA,NA,0.21,1.60,NA
P23842,1.06,2.91,1.34,1.13,0.72,1.83,0.55,0.80,3.63,3.99,3.27,2.88,0.27,0.83,0.46,2.78,1.01,0.57,0.13,0.09,0.18,0.37
P32677,1.75,14.34,NA,1.73,0.60,2.48,3.06,1.76,2.68,2.41,10.16,1.85,0.15,0.20,11.82,8.04,6.92,NA,NA,1.92,3.66,NA
P52106,0.21,0.09,NA,0.01,0.37,0.18,0.03,0.41,0.07,0.39,2.81,0.00,0.06,0.03,0.00,0.01,0.00,NA,NA,0.70,0.11,NA
P0A8V0,7.27,10.32,11.98,3.61,5.77,4.18,6.80,8.68,3.73,3.39,2.42,2.08,2.33,9.82,6.44,8.29,10.83,5.72,5.53,3.52,5.59,9.77
P0A8H8,94.59,254.65,161.95,51.87,94.56,105.33,83.67,86.57,53.68,46.64,22.41,22.00,5.09,1.47,59.60,15.57,59.25,37.06,22.96,8.55,21.40,3.27
P0AA97,1.93,6.81,3.26,1.24,1.60,0.77,1.86,1.90,0.70,0.62,1.00,0.25,0.16,0.01,2.51,1.05,1.08,1.06,1.78,0.73,0.49,1.66
P0A8D3,48.94,53.94,55.87,23.89,23.95,30.87,34.18,27.38,28.45,19.19,11.63,8.00,15.10,12.45,55.37,27.29,46.34,32.88,16.97,8.30,15.26,24.05
P51024,87.83,158.33,156.52,55.03,68.51,91.52,52.48,42.18,56.02,33.86,28.78,24.66,77.29,17.36,41.98,73.11,119.03,43.62,56.10,39.31,72.73,82.75
P0AAS9,0.80,7.41,2.44,2.44,1.03,0.32,10.03,0.83,0.04,2.72,0.57,0.02,0.16,0.14,0.76,0.04,0.15,0.63,0.04,1.85,0.11,0.09
P24252,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.78,3.14,0.02,4.91,0.96,0.01,0.01,0.01,0.02
P75767,3.98,7.29,3.66,1.66,3.24,3.78,3.83,5.39,3.65,2.75,2.04,1.38,0.20,0.68,2.96,5.11,4.50,3.44,2.24,4.00,0.34,0.01
P0A8C1,86.88,127.73,51.88,87.30,109.04,78.67,110.35,84.65,115.09,121.23,141.48,120.10,36.11,37.04,73.04,100.38,79.28,97.49,132.45,122.46,85.77,78.01
P75839,4.35,1.73,1.17,8.35,16.22,14.00,12.66,10.53,18.82,25.89,30.31,35.01,7.91,2.68,4.57,7.71,11.79,10.33,15.63,29.34,15.65,13.53
P37052,7.17,5.54,3.16,1.91,3.17,4.99,5.14,3.67,3.06,2.40,1.32,1.04,1.86,0.72,17.94,8.67,11.54,6.71,3.99,3.34,5.01,7.29
P0ACV4,58.39,39.22,148.31,135.01,145.98,156.22,166.33,168.98,187.56,211.12,192.31,183.18,118.32,100.32,147.57,248.66,220.24,182.32,172.32,176.09,163.30,192.39
P0A8R7,19.23,34.37,29.26,21.21,30.38,29.64,29.92,23.21,40.36,39.85,38.62,39.04,2.58,26.00,21.27,77.00,28.99,31.85,35.21,30.34,30.24,29.39
P76076,8.66,16.35,13.98,4.31,8.35,7.09,7.45,8.97,8.97,6.57,4.92,3.82,1.72,1.08,19.50,13.35,10.00,11.02,9.60,6.98,10.02,7.93
P76231,78.65,227.35,136.77,36.45,64.53,55.61,70.51,50.08,64.93,48.47,27.79,19.93,20.17,23.80,87.21,123.09,51.93,70.81,43.98,32.47,44.38,81.47
P37348,0.39,0.84,0.69,0.38,0.40,0.55,0.66,0.64,0.25,0.24,0.34,0.53,1.27,0.22,1.75,2.74,1.05,0.34,0.41,1.13,0.27,0.57
P76318,1.75,4.47,1.82,0.91,1.42,0.62,0.83,1.47,2.01,1.20,2.00,1.12,19.11,7.84,2.72,3.19,3.13,2.05,1.52,2.22,2.12,0.78
P0AD24,298.78,500.74,328.61,150.90,210.74,218.90,227.18,226.51,190.74,152.61,153.08,125.03,215.01,217.00,503.38,380.48,413.70,266.78,256.47,177.59,216.58,262.53
P33644,22.37,29.87,28.61,9.01,11.85,10.38,10.09,9.25,7.60,9.48,9.03,8.31,0.32,8.89,18.61,16.88,10.51,13.11,11.56,16.20,9.27,11.65
P52060,45.71,56.41,52.27,22.75,30.42,33.35,22.47,37.82,25.34,17.52,14.63,9.89,24.13,14.09,53.45,98.82,39.42,70.81,36.27,41.90,41.84,65.86
P67624,0.06,0.09,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.05,0.06,0.06,0.05,0.05,0.04,0.05,0.06
P23305,9.92,12.05,1.01,4.71,9.34,8.53,10.27,8.92,9.43,6.73,4.54,3.06,0.01,0.03,6.51,1.61,6.83,14.56,8.26,7.04,14.46,12.69
P0ADB7,35719.29,7923.17,22095.72,41705.34,50750.46,69720.81,40794.41,21274.00,42999.75,54110.33,50177.18,53332.25,157510.69,151161.87,98751.31,40999.73,68376.82,34144.10,42289.86,59708.99,37716.53,26707.12
P67697,189.43,6.80,5.66,61.52,86.41,96.70,118.07,111.27,71.70,65.31,109.77,132.87,77.55,59.71,127.78,177.35,99.83,74.46,104.02,80.96,85.82,124.46
P0AB20,14.97,5.36,NA,9.80,0.33,118.52,0.04,13.94,3.46,0.31,0.00,1.83,61.94,23.53,0.03,30.15,2.13,NA,NA,6.28,2.95,NA
P0ADV9,58.01,89.19,64.67,57.08,83.36,61.17,57.61,54.41,61.35,60.18,58.57,79.33,42.36,30.16,68.01,43.73,44.00,62.92,77.65,81.95,75.94,78.51
P0A8N0,51.52,42.66,25.14,34.26,48.96,29.67,69.00,58.28,37.03,37.19,25.41,16.59,20.71,21.04,25.10,43.49,19.82,29.30,43.42,23.35,33.46,50.82
P77182,6.61,11.92,7.40,3.77,4.73,5.43,2.99,2.74,4.44,1.23,0.72,0.45,1.22,3.17,3.37,2.32,4.47,3.50,1.09,2.13,5.25,1.78
P76079,0.62,2.28,0.77,0.51,0.55,0.65,0.66,1.87,1.49,0.19,1.50,3.69,1.29,0.45,1.38,0.01,1.33,0.01,0.21,0.01,0.89,0.01
P60782,0.24,0.04,0.04,0.87,2.07,1.41,6.51,6.90,10.78,10.93,16.58,21.04,4.40,5.17,1.50,3.65,5.46,1.53,4.83,2.12,3.83,6.39
P0AG71,0.53,7.41,3.59,1.30,3.01,2.87,2.36,2.82,2.82,3.45,2.99,4.30,0.51,0.23,0.33,0.77,0.35,0.61,1.93,1.87,1.12,0.81
P18393,106.15,32.69,66.84,39.20,29.29,69.18,37.39,60.14,48.97,24.01,22.05,20.99,58.77,211.66,1153.64,35.07,102.39,473.52,18.43,13.17,65.85,34.13
P0AB35,51.77,6.86,NA,0.96,0.77,10.79,6.74,14.31,1.51,5.51,1.59,1.45,8.95,5.07,22.42,26.44,20.61,NA,NA,2.65,2.84,NA
P77433,2.47,68.26,0.86,1.92,1.84,1.31,1.28,9.39,0.16,3.11,1.42,0.08,0.05,0.01,1.32,0.05,0.01,0.04,0.47,0.47,0.90,0.38
P42626,6.84,34.48,11.66,4.38,4.61,6.37,9.51,9.23,4.73,4.80,2.48,3.61,1.08,2.50,4.10,8.70,3.16,6.42,9.97,6.48,9.17,7.55
P46474,0.73,3.30,2.62,1.15,1.63,2.09,1.35,1.78,2.74,2.23,2.03,1.73,3.22,0.18,1.57,6.39,4.63,3.79,2.49,1.81,2.74,2.63
P0AF59,104.25,29.95,NA,39.99,0.01,15.85,43.82,26.89,62.03,17.91,4.58,73.99,80.38,31.45,38.92,41.45,48.73,NA,NA,2.09,33.19,NA
P64517,22.32,3.61,NA,20.58,29.74,9.27,28.42,3.54,12.04,12.76,21.76,5.67,0.03,2.44,0.68,10.51,22.83,NA,NA,4.35,6.10,NA
P0AD40,40.06,78.39,72.89,21.73,22.62,27.74,28.18,10.62,27.35,20.16,18.19,11.16,2.73,2.90,29.61,14.92,24.20,25.32,14.34,17.69,24.63,22.43
P39321,2.99,9.38,2.86,1.60,2.24,3.37,2.06,4.25,4.01,4.17,3.59,3.20,4.56,2.94,3.74,6.35,5.64,3.96,3.63,3.03,3.05,4.03
P27250,1.02,0.02,0.02,2.01,0.88,3.51,1.19,1.73,2.56,3.13,3.61,1.00,3.12,0.21,1.78,0.06,9.73,0.10,1.03,0.02,0.24,0.11
P0AFP4,39.39,62.55,44.32,15.37,29.03,42.93,35.87,46.46,41.19,38.66,35.91,36.53,24.24,26.69,31.99,73.17,35.57,43.89,37.07,32.30,34.91,45.23
P0AF52,81.22,116.43,100.90,80.08,84.90,83.98,54.55,71.18,123.54,80.27,55.38,67.34,39.16,36.71,73.89,98.94,85.25,126.81,68.58,76.22,84.05,105.37
P0AEH3,138.96,158.77,206.25,73.32,95.46,149.54,100.73,66.97,99.82,69.53,58.15,39.54,98.55,75.63,210.10,122.65,197.71,202.54,81.42,64.07,96.23,110.85
P37147,0.51,41.84,15.05,0.02,3.61,0.03,5.50,4.53,30.86,33.68,45.66,12.42,0.02,0.02,0.03,0.75,0.03,0.03,23.55,0.02,8.09,0.03
P0AEY3,1.78,3.52,2.09,4.80,4.31,1.52,2.31,1.96,1.72,2.54,3.29,2.89,9.05,9.40,27.03,0.92,17.23,6.86,15.57,13.84,9.61,11.74
